FileName,Sentences,Label,text,AugmentedText,VAD,VAD_normalized
Ses01F_impro01_F000.wav,Excuse me.,neu,EXCUSE ME .,Excuse me.,"[2.5, 2.5, 2.5]","[0.5, 0.5, 0.5]"
Ses01F_impro01_F001.wav,Yeah.,neu,YEAH .,"Yes, it is.","[2.5, 2.5, 2.5]","[0.5, 0.5, 0.5]"
Ses01F_impro01_F002.wav,Is there a problem?,neu,IS THERE A PROBLEM .,Is there a problem?,"[2.5, 2.5, 2.5]","[0.5, 0.5, 0.5]"
Ses01F_impro01_F005.wav,Well what's the problem? Let me change it.,neu,WELL WHAT'S  THE PROBLEM LET ME CHANGE IT .,"Well, what's the problem?","[2.5, 3.5, 2.0]","[0.5, 0.7, 0.4]"
Ses01F_impro01_F012.wav,That's out of control.,ang,THAT'S OUT OF CONTROL .,That's out of control.,"[2.0, 3.5, 3.5]","[0.4, 0.7, 0.7]"
Ses01F_impro01_F014.wav,"Clearly. You know, do you have like a supervisor or something?",neu,CLEARLY . YOU KNOW DO YOU HAVE LIKE A SUPERVISOR OR SOMETHING .,"You know, do you have a superior or something?","[2.5, 3.5, 3.5]","[0.5, 0.7, 0.7]"
Ses01F_impro01_M011.wav,I don't understand why this is so complicated for people when they get here. It's just a simple form. I just need an ID.,ang,I  DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE . IT'S JUST A SIMPLE FORM I JUST NEED AN ID .,I don't understand why this is so complicated for people when they get here.,"[2.0, 4.0, 4.0]","[0.4, 0.8, 0.8]"
Ses01F_impro01_M013.wav,Yeah. Do you want to see my supervisor? Huh? Yeah. Do you want to see my supervisor? Fine. I'll be right back.,ang,YEAH  DO YOU  WANT . TO SEE MY SUPERVISOR HUH YEAH DO YOU WANT TO SEE MY SUPERVISOR FINE I'LL BE RIGHT BACK .,Do you want to see my superior?,"[2.0, 4.5, 4.5]","[0.4, 0.9, 0.9]"
Ses01F_impro02_F000.wav,Did you get the mail? So you saw my letter?,sad,DID YOU GET THE MAIL SO YOU SAW MY LETTER .,"Did you get the mail, so you saw my letter?","[2.5, 2.0, 1.5]","[0.5, 0.4, 0.3]"
Ses01F_impro02_F001.wav,Yeah. I know.,sad,YEAH I KNOW .,"Yeah, I know.","[2.0, 1.5, 1.5]","[0.4, 0.3, 0.3]"
Ses01F_impro02_F002.wav,I don't know. I put in that. request too. They didn't...,sad,I DON'T KNOW I . PUT IN THAT REQUEST TOO THEY DIDN'T .,"I don't know, I asked for it, but they didn't...","[2.0, 1.5, 1.5]","[0.4, 0.3, 0.3]"
Ses01F_impro02_F003.wav,"I guess, you know, everybody has to make sacrifices.",neu,I GUESS YOU KNOW EVERYBODY HAS TO MAKE . SACRIFICES .,I guess everyone has to make sacrifices.,"[2.0, 2.0, 2.0]","[0.4, 0.4, 0.4]"
Ses01F_impro02_F004.wav,"There's people that have given more though, you know?",sad,THERE'S PEOPLE THAT HAVE GIVEN MORE THOUGH . YOU KNOW .,"There are people who gave more, you know?","[2.5, 2.0, 2.5]","[0.5, 0.4, 0.5]"
Ses01F_impro02_F005.wav,I know.,sad,I KNOW .,I know.,"[2.0, 2.0, 2.5]","[0.4, 0.4, 0.5]"
Ses01F_impro02_F006.wav,"There's babies over there, though, that need mothers.",neu,THERE'S BABIES OVER THERE THOUGH  THAT NEED MOTHERS .,There are babies over there who need mothers.,"[2.5, 2.5, 2.5]","[0.5, 0.5, 0.5]"
Ses01F_impro02_F008.wav,"Just, you know, kicking myself.",sad,JUST YOU KNOW KICKING MYSELF .,"You know, I'm kicking myself.","[1.5, 2.0, 1.5]","[0.3, 0.4, 0.3]"
Ses01F_impro02_F010.wav,things just aren't what they seem.,sad,THINGS JUST AREN'T WHAT THEY SEEM .,Things just aren't what they seem.,"[2.0, 1.5, 2.0]","[0.4, 0.3, 0.4]"
Ses01F_impro02_F012.wav,"If not me then, who?",sad,IF NOT ME THEN WHO .,"If not me, who then?","[3.5, 2.0, 1.5]","[0.7, 0.4, 0.3]"
Ses01F_impro02_F013.wav,"You'll videotape everything, yeah?",sad,YOU'LL VIDEOTAPE EVERYTHING YEAH .,"You're filming everything, right?","[1.5, 2.0, 2.0]","[0.3, 0.4, 0.4]"
Ses01F_impro02_F014.wav,"Maybe you can send it to me, like stream it, yeah?",sad,MAYBE YOU . CAN . SEND IT TO ME LIKE . STREAM IT YEAH .,"Maybe you can send it to me, how to stream, yeah?","[1.5, 2.0, 2.0]","[0.3, 0.4, 0.4]"
Ses01F_impro02_F015.wav,Last month-- Yeah.,sad,LAST MONTH YEAH .,Last month... yeah.,"[2.0, 2.5, 2.5]","[0.4, 0.5, 0.5]"
Ses01F_impro02_F016.wav,I have to find sitters.,neu,I HAVE TO FIND SITTERS .,I have to find a babysitter.,"[2.0, 1.0, 2.5]","[0.4, 0.2, 0.5]"
Ses01F_impro02_F017.wav,"We've got friends, that's why we moved here, huh? Because there is a day care down the street.",sad,WE'VE GOT FRIENDS THAT'S WHY WE MOVED . HERE . HUH  BECAUSE THERE . IS A DAY CARE DOWN THE STREET .,We have friends. That's why we moved here because there's a day care center.,"[3.5, 3.0, 2.5]","[0.7, 0.6, 0.5]"
Ses01F_impro02_F018.wav,And your mother is close by.,neu,AND YOUR MOTHER IS CLOSE BY .,And your mother's nearby.,"[2.5, 2.5, 2.5]","[0.5, 0.5, 0.5]"
Ses01F_impro02_F019.wav,I'll send you lots of letters.,sad,I'LL SEND YOU LOTS OF LETTERS .,I'll send you a lot of letters.,"[2.5, 1.5, 2.0]","[0.5, 0.3, 0.4]"
Ses01F_impro02_F020.wav,And I want lots and lots and lots of pictures.,sad,AND I WANT LOTS AND LOTS AND LOTS OF PICTURES .,And I want many and many pictures.,"[4.0, 2.0, 2.5]","[0.8, 0.4, 0.5]"
Ses01F_impro02_M001.wav,"I don't understand. You've already done so much, I don't know why do you have to go back.",sad,I DON'T UNDERSTAND YOU'VE ALREADY DONE SO MUCH I DON'T KNOW WHY DO YOU HAVE TO GO BACK .,"You've done so much already, I don't know why you have to go back.","[2.0, 2.5, 2.5]","[0.4, 0.5, 0.5]"
Ses01F_impro02_M005.wav,I don't know how you can be okay with this? I don't know why you're not-- you're fine with it.,sad,I DON'T KNOW HOW YOU CAN BE OKAY WITH THIS I DON'T KNOW WHY YOU'RE NOT . YOU'RE FINE WITH IT .,I don't know why you're not... you're okay with it.,"[2.0, 3.0, 1.5]","[0.4, 0.6, 0.3]"
Ses01F_impro02_M009.wav,I just don't see why it has to be you.,sad,I JUST DON'T SEE WHY IT HAS TO BE YOU .,I just don't understand why you have to be.,"[2.0, 1.5, 2.5]","[0.4, 0.3, 0.5]"
Ses01F_impro02_M010.wav,What am I going to do? Huh?,sad,WHAT AM I GOING TO DO HUH .,What do you want me to do?,"[2.0, 2.0, 1.5]","[0.4, 0.4, 0.3]"
Ses01F_impro02_M011.wav,Yeah.,sad,YEAH .,That's right.,"[2.5, 1.5, 2.5]","[0.5, 0.3, 0.5]"
Ses01F_impro02_M012.wav,Don't you guys have access to computers over there.,neu,DON'T YOU GUYS HAVE ACCESS TO COMPUTERS OVER THERE .,Don't you have access to computers over there?,"[2.5, 2.0, 2.0]","[0.5, 0.4, 0.4]"
Ses01F_impro02_M013.wav,I just don't know how I'm going to do it without you.,sad,I JUST DON'T KNOW HOW I'M GOING TO DO IT WITHOUT YOU .,I just don't know how to do it without you.,"[1.5, 2.0, 2.0]","[0.3, 0.4, 0.4]"
Ses01F_impro02_M014.wav,I can't raise a baby by myself. How?,sad,I CAN'T RAISE A BABY BY MYSELF . HOW .,I can't raise a baby alone.,"[1.5, 3.0, 1.5]","[0.3, 0.6, 0.3]"
Ses01F_impro02_M015.wav,I know.,neu,I KNOW .,I know.,"[3.0, 3.0, 1.5]","[0.6, 0.6, 0.3]"
Ses01F_impro03_F000.wav,Well Vegas was awesome.,hap,WELL . VEGAS WAS AWESOME .,"Well, Vegas was fantastic.","[4.3333, 2.6667, 2.6667]","[0.8666600000000001, 0.53334, 0.53334]"
Ses01F_impro03_F001.wav,"And, um, I got married.",hap,AND UM I GOT MARRIED .,And I got married.,"[4.0, 2.6667, 2.6667]","[0.8, 0.53334, 0.53334]"
Ses01F_impro03_F002.wav,Yeah. In the old town part.,hap,YEAH  IN THE OLD TOWN PART .,"Yes, in the old part of town.","[4.3333, 3.0, 2.3333]","[0.8666600000000001, 0.6, 0.46665999999999996]"
Ses01F_impro03_F004.wav,Um- Yes. It was very romantic.,hap,UM . YES . IT  WAS VERY ROMANTIC .,"Yeah, it was very romantic.","[4.6667, 3.6667, 2.3333]","[0.93334, 0.73334, 0.46665999999999996]"
Ses01F_impro03_F005.wav,It was at the slot machines.,hap,IT WAS AT THE SLOT MACHINES .,It was on the slot machines.,"[4.3333, 4.0, 2.3333]","[0.8666600000000001, 0.8, 0.46665999999999996]"
